Date,Inflation
2003-01-01,1.990353728581274
2003-01-02,2.012333395730113
2003-01-03,2.051530140825007
2003-01-06,2.0605424018136347
2003-01-07,2.062197859889343
2003-01-08,2.0629335165528278
2003-01-09,2.015247380777113
2003-01-10,2.0301503980628093
2003-01-13,2.032833726382726
2003-01-14,2.0414005673959403
2003-01-15,2.0271713235142665
2003-01-16,2.0194821859347245
2003-01-17,2.011261687204661
2003-01-20,2.031694146886122
2003-01-21,2.02411895015406
2003-01-22,2.065772156596256
2003-01-23,2.0743894049765568
2003-01-24,2.048875751776642
2003-01-27,2.046304825911603
2003-01-28,2.0332713234684747
2003-01-29,1.989383674072074
2003-01-30,2.02137309287435
2003-01-31,2.03543594371875
2003-02-03,2.0461000900767363
2003-02-04,2.04940816328273
2003-02-05,2.0217678119088816
2003-02-06,2.012095469117773
2003-02-07,2.028931084613453
2003-02-10,2.007906684017803
2003-02-11,1.9572712976927868
2003-02-12,1.9527291775371682
2003-02-13,1.9498940264566176
2003-02-14,1.9526052947849117
2003-02-17,1.9671756676552024
2003-02-18,1.9799277838998266
2003-02-19,1.985103180004705
2003-02-20,2.009013807766439
2003-02-21,1.9786344121501729
2003-02-24,1.9887260484397207
2003-02-25,2.0012568157064594
2003-02-26,1.9764655699848548
2003-02-27,1.946408157811207
2003-02-28,1.931489315281695
2003-03-03,1.9182584864313892
2003-03-04,1.9333268757014377
2003-03-05,1.9210361000276157
2003-03-06,1.9039091296619917
2003-03-07,1.8916764549281004
2003-03-10,1.9140491016111847
2003-03-11,1.9143099690987238
2003-03-12,1.9107249485915856
2003-03-13,1.9085248386175646
2003-03-14,1.934366045304095
2003-03-17,1.9193826107720302
2003-03-18,1.9456927765908323
2003-03-19,1.9499027025692623
2003-03-20,1.9466943149297553
2003-03-21,1.996712324888441
2003-03-24,1.975599535092469
2003-03-25,1.9685258199011288
2003-03-26,1.9438771951178488
2003-03-27,1.9629264345285724
2003-03-28,1.996710213201606
2003-03-31,2.0301086688296985
2003-04-01,2.054587643892619
2003-04-02,2.0506352345366996
2003-04-03,2.0433304149869027
2003-04-04,2.0099070195370214
2003-04-07,2.050624490240657
2003-04-08,2.0600040518036264
2003-04-09,2.050164913706237
2003-04-10,2.076726051485976
2003-04-11,2.057270761150776
2003-04-14,2.0654032018352297
2003-04-15,2.061950619149413
2003-04-16,2.074724161947019
2003-04-17,2.0734526911632964
2003-04-18,2.044434133341072
2003-04-21,2.0459456607944726
2003-04-22,2.06692294363198
2003-04-23,2.0663386155149004
2003-04-24,2.081840917946682
2003-04-25,2.060930328233201
2003-04-28,2.0604051123678038
2003-04-29,2.047914903266032
2003-04-30,2.0628545200681265
2003-05-01,2.0634843513133663
2003-05-02,2.0772858248400987
2003-05-05,2.099040033363256
2003-05-06,2.112872404865684
2003-05-07,2.1183347735515565
2003-05-08,2.0983705283813285
2003-05-09,2.0983148061679904
2003-05-12,2.087652998127674
2003-05-13,2.0807717189935895
2003-05-14,2.0732810359785843
2003-05-15,2.0536825244829395
2003-05-16,2.01453575270026
2003-05-19,2.001172891733704
2003-05-20,2.0050404807721875
2003-05-21,1.9780769398636378
2003-05-22,1.9783905845930703
2003-05-23,2.0163959530792894
2003-05-26,2.036857084184334
2003-05-27,2.069727914366745
2003-05-28,2.077550471905399
2003-05-29,2.1009006683651283
2003-05-30,2.0864213737557726
2003-06-02,2.073534568415333
2003-06-03,2.0187517642925834
2003-06-04,2.0424746737734294
2003-06-05,2.073281153369827
2003-06-06,2.062217608462882
2003-06-09,2.057138574334937
2003-06-10,2.0420613320611176
2003-06-11,2.0497144030906678
2003-06-12,2.0722130539967325
2003-06-13,2.0373576145191117
2003-06-16,2.045546385131957
2003-06-17,2.040012949697574
2003-06-18,2.0422808375369077
2003-06-19,2.0514607175703934
2003-06-20,2.047696668794937
2003-06-23,2.045624931726821
2003-06-24,2.0413474283757287
2003-06-25,2.060753752411494
2003-06-26,2.069128951614044
2003-06-27,2.0735406223687916
2003-06-30,2.048121587946946
2003-07-01,2.0405499930826827
2003-07-02,2.058523376289466
2003-07-03,2.0592773077519446
2003-07-04,2.072467937143727
2003-07-07,2.10779817315028
2003-07-08,2.1285702945344562
2003-07-09,2.130433461288451
2003-07-10,2.1202136778845366
2003-07-11,2.0691426859634188
2003-07-14,2.0657749875139615
2003-07-15,2.0592547375976245
2003-07-16,2.067062061485532
2003-07-17,2.0639839569460383
2003-07-18,2.0575762557573025
2003-07-21,2.021988277147158
2003-07-22,2.0031889205641566
2003-07-23,2.012721941380168
2003-07-24,2.047040094002822
2003-07-25,2.0450895863279093
2003-07-28,2.051645807799392
2003-07-29,2.0706953709384477
2003-07-30,2.054477492214443
2003-07-31,2.061813773080152
2003-08-01,2.0470039709535084
2003-08-04,2.064300459723329
2003-08-05,2.0673285206823633
2003-08-06,2.0732975569619922
2003-08-07,2.0576455850136206
2003-08-08,2.0717862322058362
2003-08-11,2.1134804906304563
2003-08-12,2.0933222567218923
2003-08-13,2.0865270765689417
2003-08-14,2.0911592260523038
2003-08-15,2.10688735029222
2003-08-18,2.0956964245864307
2003-08-19,2.0390358187835758
2003-08-20,2.0662196086668563
2003-08-21,2.081429731058539
2003-08-22,2.046570780448806
2003-08-25,2.0344194046132147
2003-08-26,2.0657830532037615
2003-08-27,2.0947389815729185
2003-08-28,2.1135117820264977
2003-08-29,2.1099895333473
2003-09-01,2.1116492817235506
2003-09-02,2.109030765621028
2003-09-03,2.131595561286405
2003-09-04,2.1140787131565024
2003-09-05,2.0979627200588182
2003-09-08,2.1181682117955387
